Feature,Estimate,Std_Error,t_stat,P_Value,CI Lower,CI Upper,Sig,CI_95%
Intercept,80492.49296767544,23.45356862474831,-1.1076113029124657,0.26805268782045344,80446.52397317093,80538.46196217995,,"[80446.52, 80538.46]"
MIN_YEARS_EXPERIENCE,6750.622869526482,2836.709115013179,1.169438843655676,0.24225089812280443,1190.6730041006504,12310.572734952313,,"[1190.67, 12310.57]"
EMPLOYMENT_TYPE_NAME_Part-time / full-time,3317.357827248528,3500.230741569874,0.37826367431059793,0.7052416502341159,-3543.094426228425,10177.810080725481,,"[-3543.09, 10177.81]"
EMPLOYMENT_TYPE_NAME_Part-time (â‰¤ 32 hours),1324.0101412411295,2873.7437273509586,28.009628068635788,0.0,-4308.527564366749,6956.547846849008,***,"[-4308.53, 6956.55]"
DURATION,-25.9774377024044,101.75656266432489,66.34090905562006,0.0,-225.4203005244812,173.46542511967237,***,"[-225.42, 173.47]"
